what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wb.core.java,1.6.0.r42x201306031644,"org.eclipse.wb.core.java",1403697586809
stopped,bundle,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui",1403697586809
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.101.v201208171701,"org.eclipse.wst.jsdt.debug.rhino.ui",1403697586809
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.300.v201209252144,"org.eclipse.wst.jsdt.debug.ui",1403697586810
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.402.v201208171701,"org.eclipse.wst.jsdt.support.firefox",1403697586810
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.401.v201401171657,"org.eclipse.wst.jsdt.ui",1403697586814
stopped,bundle,org.eclipse.wst.sse.ui,1.3.201.v201401132128,"org.eclipse.wst.sse.ui",1403697586814
stopped,bundle,org.eclipse.egit.mylyn.ui,3.3.2.201404171909-r,"org.eclipse.egit.mylyn.ui",1403697586823
stopped,bundle,org.eclipse.egit.ui,3.3.2.201404171909-r,"org.eclipse.egit.ui",1403697586823
stopped,bundle,org.eclipse.search,3.9.0.v20130312-1625,"org.eclipse.search",1403697586823
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1403697586824
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1403697586824
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.3.v201211200616,"org.eclipse.datatools.sqltools.ddlgen.ui",1403697586825
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.5.v201212070447,"org.eclipse.datatools.connectivity.ui.dse",1403697586826
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1403697586826
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1403697586826
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.500.v20130516-1049,"org.eclipse.ui.navigator.resources",1403697586826
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.7.100.v20130605-1748,"org.eclipse.ltk.ui.refactoring",1403697586826
stopped,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1403697586826
stopped,bundle,org.eclipse.team.ui,3.7.0.v20130514-1224,"org.eclipse.team.ui",1403697586827
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1403697586827
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1403697586828
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1403697586829
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1403697586830
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1403697586831
